gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.12G110500.Wm82.a4.v1	3	0	6	10
Glyma.12G110550.Wm82.a4.v1	55	40	12	20
Glyma.12G110600.Wm82.a4.v1	144	174	105	235
Glyma.12G110700.Wm82.a4.v1	1	0	0	0
Glyma.12G111000.Wm82.a4.v1	178	190	78	108
Glyma.12G111100.Wm82.a4.v1	244	164	61	88
Glyma.12G111200.Wm82.a4.v1	174	117	14	45
Glyma.12G111300.Wm82.a4.v1	0	0	0	0
Glyma.12G111400.Wm82.a4.v1	72	106	77	142
Glyma.12G111500.Wm82.a4.v1	0	0	0	0
Glyma.12G111600.Wm82.a4.v1	8	7	0	10
Glyma.12G111700.Wm82.a4.v1	330	375	91	175
Glyma.12G111800.Wm82.a4.v1	21	40	3	16
Glyma.12G111866.Wm82.a4.v1	0	0	0	0
Glyma.12G111932.Wm82.a4.v1	203	164	18	40
Glyma.12G112000.Wm82.a4.v1	157	98	63	122
Glyma.12G112100.Wm82.a4.v1	0	0	0	0
Glyma.12G112250.Wm82.a4.v1	5	17	0	3
Glyma.12G112400.Wm82.a4.v1	0	0	0	0
Glyma.12G112500.Wm82.a4.v1	0	0	0	0
Glyma.12G112600.Wm82.a4.v1	66	32	13	46
Glyma.12G112700.Wm82.a4.v1	0	0	0	0
Glyma.12G112750.Wm82.a4.v1	0	0	0	0
Glyma.12G112800.Wm82.a4.v1	0	0	0	0
Glyma.12G112900.Wm82.a4.v1	689	331	269	423
Glyma.12G113000.Wm82.a4.v1	0	0	0	0
Glyma.12G113100.Wm82.a4.v1	10	10	5	4
Glyma.12G113200.Wm82.a4.v1	897	1060	488	1167
Glyma.12G113302.Wm82.a4.v1	383	592	246	520
Glyma.12G113400.Wm82.a4.v1	828	550	181	512
Glyma.12G113500.Wm82.a4.v1	92	125	42	86
Glyma.12G113600.Wm82.a4.v1	0	4	0	0
Glyma.12G113700.Wm82.a4.v1	361	336	120	153
Glyma.12G113800.Wm82.a4.v1	1175	908	290	478
Glyma.12G113900.Wm82.a4.v1	115	117	68	141
Glyma.12G114000.Wm82.a4.v1	99	172	277	387
Glyma.12G114050.Wm82.a4.v1	0	0	0	0
Glyma.12G114100.Wm82.a4.v1	26	14	46	82
Glyma.12G114200.Wm82.a4.v1	55	73	4	8
Glyma.12G114300.Wm82.a4.v1	0	0	9	20
Glyma.12G114350.Wm82.a4.v1	0	0	0	0
Glyma.12G114400.Wm82.a4.v1	0	0	0	0
Glyma.12G114450.Wm82.a4.v1	0	0	0	0
Glyma.12G114500.Wm82.a4.v1	188	243	95	196
Glyma.12G114600.Wm82.a4.v1	238	136	111	192
Glyma.12G114900.Wm82.a4.v1	0	8	1	16
Glyma.12G115000.Wm82.a4.v1	0	0	0	0
Glyma.12G115100.Wm82.a4.v1	0	0	0	0
Glyma.12G115400.Wm82.a4.v1	385	327	108	260
Glyma.12G115600.Wm82.a4.v1	64	64	18	7
Glyma.12G115800.Wm82.a4.v1	104	94	69	146
Glyma.12G116000.Wm82.a4.v1	234	213	93	139
Glyma.12G116100.Wm82.a4.v1	288	464	400	850
Glyma.12G116200.Wm82.a4.v1	0	4	3	43
Glyma.12G116300.Wm82.a4.v1	3709	2638	1096	2631
Glyma.12G116400.Wm82.a4.v1	21	59	11	33
Glyma.12G116500.Wm82.a4.v1	230	189	106	252
Glyma.12G116700.Wm82.a4.v1	101	252	16	55
Glyma.12G116800.Wm82.a4.v1	390	306	436	542
Glyma.12G116900.Wm82.a4.v1	7	0	7	8
Glyma.12G117000.Wm82.a4.v1	375	589	395	740
Glyma.12G117102.Wm82.a4.v1	35	18	4	5
Glyma.12G117300.Wm82.a4.v1	0	0	0	0
Glyma.12G117400.Wm82.a4.v1	33	18	26	28
Glyma.12G117500.Wm82.a4.v1	199	227	111	227
Glyma.12G117600.Wm82.a4.v1	2076	1609	996	2214
Glyma.12G117700.Wm82.a4.v1	103	97	30	124
Glyma.12G117800.Wm82.a4.v1	0	0	0	12
Glyma.12G117900.Wm82.a4.v1	319	300	115	348
Glyma.12G118200.Wm82.a4.v1	9	14	5	12
Glyma.12G118300.Wm82.a4.v1	11	14	1	11
Glyma.12G118600.Wm82.a4.v1	14	9	2	15
Glyma.12G118700.Wm82.a4.v1	185	179	81	290
Glyma.12G118800.Wm82.a4.v1	0	5	0	21
Glyma.12G119000.Wm82.a4.v1	50	32	10	41
Glyma.12G119100.Wm82.a4.v1	0	0	0	0
Glyma.12G119200.Wm82.a4.v1	63	46	49	143
Glyma.12G119300.Wm82.a4.v1	0	0	0	1
Glyma.12G119600.Wm82.a4.v1	0	0	0	0
Glyma.12G119700.Wm82.a4.v1	4	0	0	0
Glyma.12G119800.Wm82.a4.v1	258	335	96	244
Glyma.12G119900.Wm82.a4.v1	21	8	2	18
Glyma.12G120100.Wm82.a4.v1	127	97	85	165
Glyma.12G120200.Wm82.a4.v1	0	0	0	0
Glyma.12G120300.Wm82.a4.v1	294	192	185	417
Glyma.12G120400.Wm82.a4.v1	119	166	121	183
Glyma.12G120500.Wm82.a4.v1	108	160	86	129
Glyma.12G120600.Wm82.a4.v1	27	86	23	48
Glyma.12G120700.Wm82.a4.v1	0	0	0	0
Glyma.12G120800.Wm82.a4.v1	161	143	116	153
Glyma.12G120901.Wm82.a4.v1	0	0	0	0
Glyma.12G121000.Wm82.a4.v1	703	843	169	421
Glyma.12G121100.Wm82.a4.v1	51	34	17	88
Glyma.12G121200.Wm82.a4.v1	38	10	1	2
Glyma.12G121400.Wm82.a4.v1	21	10	7	22
Glyma.12G121501.Wm82.a4.v1	13	0	3	8
Glyma.12G121600.Wm82.a4.v1	58	63	14	12
Glyma.12G121700.Wm82.a4.v1	197	199	126	247
Glyma.12G121800.Wm82.a4.v1	0	0	0	0
Glyma.12G122100.Wm82.a4.v1	75	172	103	239
Glyma.12G122200.Wm82.a4.v1	0	17	6	2
Glyma.12G122233.Wm82.a4.v1	0	0	0	0
Glyma.12G122266.Wm82.a4.v1	0	9	0	0
Glyma.12G122300.Wm82.a4.v1	613	562	131	371
Glyma.12G122400.Wm82.a4.v1	83	125	30	94
Glyma.12G122501.Wm82.a4.v1	6	0	1	5
Glyma.12G122700.Wm82.a4.v1	305	337	59	162
Glyma.12G122800.Wm82.a4.v1	33	15	2	4
Glyma.12G122900.Wm82.a4.v1	1050	797	112	634
Glyma.12G123001.Wm82.a4.v1	0	0	0	0
Glyma.12G123366.Wm82.a4.v1	8	0	0	2
Glyma.12G123432.Wm82.a4.v1	0	0	0	0
Glyma.12G123500.Wm82.a4.v1	0	0	0	0
Glyma.12G123600.Wm82.a4.v1	0	0	0	0
Glyma.12G123700.Wm82.a4.v1	0	0	0	0
Glyma.12G123750.Wm82.a4.v1	0	0	0	0
Glyma.12G123800.Wm82.a4.v1	12	0	0	4
Glyma.12G123901.Wm82.a4.v1	0	0	1	0
Glyma.12G124100.Wm82.a4.v1	10	7	1	6
Glyma.12G124200.Wm82.a4.v1	0	15	0	15
Glyma.12G124400.Wm82.a4.v1	0	0	0	0
Glyma.12G124500.Wm82.a4.v1	0	22	0	7
Glyma.12G124601.Wm82.a4.v1	0	0	0	0
Glyma.12G124700.Wm82.a4.v1	0	0	0	1
Glyma.12G124900.Wm82.a4.v1	11	33	3	13
Glyma.12G125000.Wm82.a4.v1	21	8	0	21
Glyma.12G125200.Wm82.a4.v1	0	0	0	0
Glyma.12G125300.Wm82.a4.v1	18	27	0	7
Glyma.12G125550.Wm82.a4.v1	10	18	3	5
Glyma.12G125800.Wm82.a4.v1	45	44	0	11
Glyma.12G125900.Wm82.a4.v1	11	17	0	0
Glyma.12G126100.Wm82.a4.v1	0	0	0	0
Glyma.12G126200.Wm82.a4.v1	0	0	0	0
Glyma.12G126300.Wm82.a4.v1	0	0	0	0
Glyma.12G126400.Wm82.a4.v1	26	11	2	5
Glyma.12G126500.Wm82.a4.v1	11	9	0	18
Glyma.12G126600.Wm82.a4.v1	0	7	0	2
Glyma.12G126700.Wm82.a4.v1	0	0	0	0
Glyma.12G127000.Wm82.a4.v1	9	6	1	0
Glyma.12G127100.Wm82.a4.v1	6	0	0	2
Glyma.12G127200.Wm82.a4.v1	0	0	0	0
Glyma.12G127300.Wm82.a4.v1	0	0	0	0
Glyma.12G127400.Wm82.a4.v1	22	41	1	5
Glyma.12G127600.Wm82.a4.v1	306	243	53	209
Glyma.12G127801.Wm82.a4.v1	0	0	0	1
Glyma.12G128000.Wm82.a4.v1	16	13	0	13
Glyma.12G128100.Wm82.a4.v1	448	390	131	171
Glyma.12G128600.Wm82.a4.v1	321	360	89	330
Glyma.12G128700.Wm82.a4.v1	288	339	137	356
Glyma.12G128800.Wm82.a4.v1	72	107	58	112
Glyma.12G128900.Wm82.a4.v1	87	94	24	52
Glyma.12G129000.Wm82.a4.v1	4	7	0	3
Glyma.12G129100.Wm82.a4.v1	1736	1682	740	1276
Glyma.12G129200.Wm82.a4.v1	796	791	96	495
Glyma.12G129300.Wm82.a4.v1	135	122	60	163
Glyma.12G129400.Wm82.a4.v1	214	127	87	185
Glyma.12G129500.Wm82.a4.v1	2163	3599	1209	2025
Glyma.12G129600.Wm82.a4.v1	801	1096	333	754
Glyma.12G129800.Wm82.a4.v1	482	539	267	671
Glyma.12G129900.Wm82.a4.v1	8	12	3	18
Glyma.12G130000.Wm82.a4.v1	0	0	0	0
Glyma.12G130200.Wm82.a4.v1	63	70	145	161
Glyma.12G130500.Wm82.a4.v1	0	4	0	5
Glyma.12G130600.Wm82.a4.v1	0	0	0	0
Glyma.12G130700.Wm82.a4.v1	0	0	0	0
Glyma.12G131000.Wm82.a4.v1	0	0	0	0
Glyma.12G131100.Wm82.a4.v1	0	0	0	0
Glyma.12G131200.Wm82.a4.v1	25	10	51	61
Glyma.12G131300.Wm82.a4.v1	0	0	0	0
Glyma.12G131400.Wm82.a4.v1	0	0	0	0
Glyma.12G131466.Wm82.a4.v1	0	3	0	0
Glyma.12G131532.Wm82.a4.v1	0	0	0	0
Glyma.12G131600.Wm82.a4.v1	506	429	230	378
Glyma.12G131700.Wm82.a4.v1	853	746	346	559
Glyma.12G131800.Wm82.a4.v1	47	85	9	23
Glyma.12G131900.Wm82.a4.v1	15	37	0	4
Glyma.12G132000.Wm82.a4.v1	0	2	3	17
Glyma.12G132100.Wm82.a4.v1	8	5	2	9
Glyma.12G132150.Wm82.a4.v1	0	0	0	0
Glyma.12G132200.Wm82.a4.v1	9	30	10	50
Glyma.12G132400.Wm82.a4.v1	40	63	84	104
Glyma.12G132500.Wm82.a4.v1	4	29	9	21
Glyma.12G132600.Wm82.a4.v1	0	22	0	9
Glyma.12G132700.Wm82.a4.v1	14	17	0	15
Glyma.12G132800.Wm82.a4.v1	31	22	17	71
Glyma.12G133300.Wm82.a4.v1	0	0	0	0
Glyma.12G133400.Wm82.a4.v1	34	31	0	2
Glyma.12G133450.Wm82.a4.v1	0	0	0	0
Glyma.12G133500.Wm82.a4.v1	63	33	15	42
Glyma.12G133700.Wm82.a4.v1	329	381	41	89
Glyma.12G133800.Wm82.a4.v1	0	0	0	0
Glyma.12G133951.Wm82.a4.v1	0	0	0	0
Glyma.12G134000.Wm82.a4.v1	193	158	95	147
Glyma.12G134100.Wm82.a4.v1	0	0	0	0
Glyma.12G134200.Wm82.a4.v1	0	9	0	1
Glyma.12G134300.Wm82.a4.v1	645	342	178	392
Glyma.12G134400.Wm82.a4.v1	39	105	22	38
Glyma.12G134500.Wm82.a4.v1	292	457	92	188
Glyma.12G134700.Wm82.a4.v1	0	0	0	0
Glyma.12G134800.Wm82.a4.v1	544	1219	390	501
Glyma.12G134900.Wm82.a4.v1	0	0	0	0
Glyma.12G135000.Wm82.a4.v1	366	224	51	84
Glyma.12G135100.Wm82.a4.v1	4674	2678	1485	3350
Glyma.12G135200.Wm82.a4.v1	1137	813	304	575
Glyma.12G135300.Wm82.a4.v1	12	7	6	17
Glyma.12G135400.Wm82.a4.v1	0	0	0	0
Glyma.12G135500.Wm82.a4.v1	0	0	0	0
Glyma.12G135600.Wm82.a4.v1	263	713	277	393
Glyma.12G135650.Wm82.a4.v1	0	0	0	0
Glyma.12G135700.Wm82.a4.v1	234	241	131	219
Glyma.12G136000.Wm82.a4.v1	109	122	63	170
Glyma.12G136100.Wm82.a4.v1	151	255	67	311
Glyma.12G136300.Wm82.a4.v1	617	800	413	747
Glyma.12G136400.Wm82.a4.v1	17	19	4	64
Glyma.12G136600.Wm82.a4.v1	640	590	104	491
Glyma.12G136700.Wm82.a4.v1	3	14	0	4
Glyma.12G136800.Wm82.a4.v1	169	286	242	340
Glyma.12G136900.Wm82.a4.v1	29	24	14	18
Glyma.12G137001.Wm82.a4.v1	0	0	0	0
Glyma.12G137100.Wm82.a4.v1	198	360	87	231
Glyma.12G137301.Wm82.a4.v1	8	9	4	0
Glyma.12G137400.Wm82.a4.v1	8	43	12	20
Glyma.12G137500.Wm82.a4.v1	69	95	26	150
Glyma.12G137700.Wm82.a4.v1	10	18	84	121
Glyma.12G137750.Wm82.a4.v1	0	0	0	0
Glyma.12G137901.Wm82.a4.v1	0	0	1	0
Glyma.12G138000.Wm82.a4.v1	0	0	0	0
Glyma.12G138100.Wm82.a4.v1	0	0	0	0
Glyma.12G138600.Wm82.a4.v1	23	0	2	1
Glyma.12G138702.Wm82.a4.v1	0	0	0	1
Glyma.12G138800.Wm82.a4.v1	0	0	0	0
Glyma.12G138900.Wm82.a4.v1	0	0	0	0
Glyma.12G139000.Wm82.a4.v1	0	0	1	6
Glyma.12G139100.Wm82.a4.v1	48	65	27	61
Glyma.12G139200.Wm82.a4.v1	433	355	232	377
Glyma.12G139800.Wm82.a4.v1	395	527	134	261
Glyma.12G140100.Wm82.a4.v1	694	883	279	610
Glyma.12G140200.Wm82.a4.v1	0	0	10	31
Glyma.12G140250.Wm82.a4.v1	0	0	0	0
Glyma.12G140300.Wm82.a4.v1	26	14	13	26
Glyma.12G140400.Wm82.a4.v1	0	0	0	0
Glyma.12G140600.Wm82.a4.v1	0	0	0	0
Glyma.12G140800.Wm82.a4.v1	0	0	0	0
Glyma.12G141000.Wm82.a4.v1	173	164	51	116
Glyma.12G141050.Wm82.a4.v1	41	25	25	10
Glyma.12G141100.Wm82.a4.v1	0	0	1	4
Glyma.12G141200.Wm82.a4.v1	7	0	0	2
Glyma.12G141301.Wm82.a4.v1	15	21	20	22
Glyma.12G141400.Wm82.a4.v1	207	79	54	123
Glyma.12G141700.Wm82.a4.v1	5	14	3	9
Glyma.12G141900.Wm82.a4.v1	950	1018	3289	5478
Glyma.12G142100.Wm82.a4.v1	0	0	0	0
Glyma.12G142200.Wm82.a4.v1	6	0	11	13
Glyma.12G142300.Wm82.a4.v1	4	0	4	8
Glyma.12G142400.Wm82.a4.v1	28	13	1	34
Glyma.12G142600.Wm82.a4.v1	0	0	0	0
Glyma.12G142800.Wm82.a4.v1	9	15	0	8
Glyma.12G142900.Wm82.a4.v1	308	385	401	392
Glyma.12G143000.Wm82.a4.v1	91	197	61	123
Glyma.12G143100.Wm82.a4.v1	0	0	0	2
Glyma.12G143200.Wm82.a4.v1	1	11	27	27
Glyma.12G143400.Wm82.a4.v1	34	68	13	72
Glyma.12G143501.Wm82.a4.v1	303	321	80	222
Glyma.12G143650.Wm82.a4.v1	0	0	0	1
Glyma.12G143700.Wm82.a4.v1	5	3	7	0
Glyma.12G143900.Wm82.a4.v1	184	388	280	331
Glyma.12G144000.Wm82.a4.v1	0	0	0	8
Glyma.12G144100.Wm82.a4.v1	0	0	5	29
Glyma.12G144300.Wm82.a4.v1	0	0	0	0
Glyma.12G144400.Wm82.a4.v1	18	68	94	102
Glyma.12G144500.Wm82.a4.v1	0	0	0	2
Glyma.12G144600.Wm82.a4.v1	0	0	6	5
Glyma.12G144800.Wm82.a4.v1	0	0	0	0
Glyma.12G145300.Wm82.a4.v1	0	0	0	0
Glyma.12G145400.Wm82.a4.v1	14	28	35	77
Glyma.12G145900.Wm82.a4.v1	3	10	10	5
Glyma.12G146000.Wm82.a4.v1	0	0	0	0
Glyma.12G146100.Wm82.a4.v1	925	1089	430	861
Glyma.12G146150.Wm82.a4.v1	0	0	0	0
Glyma.12G146350.Wm82.a4.v1	0	0	0	0
Glyma.12G146600.Wm82.a4.v1	831	839	412	908
Glyma.12G146700.Wm82.a4.v1	109	64	31	52
Glyma.12G146900.Wm82.a4.v1	8	0	7	14
Glyma.12G147000.Wm82.a4.v1	766	789	160	526
Glyma.12G147200.Wm82.a4.v1	1715	1618	729	1068
Glyma.12G147300.Wm82.a4.v1	47	84	47	66
Glyma.12G147400.Wm82.a4.v1	609	555	269	536
Glyma.12G147500.Wm82.a4.v1	139	94	38	121
Glyma.12G147600.Wm82.a4.v1	195	212	112	194
Glyma.12G147700.Wm82.a4.v1	1290	1260	774	1365
Glyma.12G147800.Wm82.a4.v1	9	5	0	8
Glyma.12G147900.Wm82.a4.v1	40	113	22	49
Glyma.12G148100.Wm82.a4.v1	0	0	0	0
Glyma.12G148200.Wm82.a4.v1	1190	1170	558	1379
Glyma.12G148300.Wm82.a4.v1	31	23	12	24
Glyma.12G148400.Wm82.a4.v1	48	39	12	26
Glyma.12G148500.Wm82.a4.v1	114	100	51	82
Glyma.12G148600.Wm82.a4.v1	82	126	16	66
Glyma.12G148700.Wm82.a4.v1	0	14	0	3
Glyma.12G148800.Wm82.a4.v1	0	0	0	0
Glyma.12G148900.Wm82.a4.v1	0	5	4	4
Glyma.12G149100.Wm82.a4.v1	13	2	33	63
Glyma.12G149200.Wm82.a4.v1	0	0	0	0
Glyma.12G149500.Wm82.a4.v1	0	0	0	0
Glyma.12G149600.Wm82.a4.v1	14	0	0	0
Glyma.12G149950.Wm82.a4.v1	1	0	0	0
Glyma.12G150300.Wm82.a4.v1	136	323	60	198
Glyma.12G150400.Wm82.a4.v1	0	7	5	5
Glyma.12G150500.Wm82.a4.v1	60	53	30	71
Glyma.12G150700.Wm82.a4.v1	135	81	64	87
Glyma.12G150800.Wm82.a4.v1	114	147	31	98
Glyma.12G150900.Wm82.a4.v1	20	104	35	67
Glyma.12G151000.Wm82.a4.v1	0	0	2	0
Glyma.12G151050.Wm82.a4.v1	0	0	0	0
Glyma.12G151100.Wm82.a4.v1	140	169	74	216
Glyma.12G151200.Wm82.a4.v1	7	3	4	25
Glyma.12G151300.Wm82.a4.v1	0	0	0	3
Glyma.12G151400.Wm82.a4.v1	488	419	115	286
Glyma.12G151500.Wm82.a4.v1	337	242	75	150
Glyma.12G151533.Wm82.a4.v1	33	47	15	54
Glyma.12G151566.Wm82.a4.v1	0	0	0	0
Glyma.12G151800.Wm82.a4.v1	3	0	0	0
Glyma.12G151850.Wm82.a4.v1	0	0	0	0
Glyma.12G151950.Wm82.a4.v1	0	0	0	0
Glyma.12G152000.Wm82.a4.v1	0	0	0	6
Glyma.12G152100.Wm82.a4.v1	93	96	20	21
Glyma.12G152300.Wm82.a4.v1	379	485	323	605
Glyma.12G152351.Wm82.a4.v1	0	0	0	3
Glyma.12G152500.Wm82.a4.v1	32	9	3	21
Glyma.12G152600.Wm82.a4.v1	235	165	76	180
Glyma.12G152700.Wm82.a4.v1	224	372	97	332
Glyma.12G152900.Wm82.a4.v1	0	0	0	0
Glyma.12G153001.Wm82.a4.v1	43	27	72	119
Glyma.12G153200.Wm82.a4.v1	0	0	0	0
Glyma.12G153600.Wm82.a4.v1	86	82	23	70
Glyma.12G153700.Wm82.a4.v1	0	0	0	0
Glyma.12G153850.Wm82.a4.v1	0	2	0	0
Glyma.12G154000.Wm82.a4.v1	0	0	0	0
Glyma.12G154100.Wm82.a4.v1	0	0	0	0
Glyma.12G154300.Wm82.a4.v1	2876	2201	779	1350
Glyma.12G154400.Wm82.a4.v1	167	181	155	233
Glyma.12G154500.Wm82.a4.v1	434	373	220	494
Glyma.12G154600.Wm82.a4.v1	9	0	2	1
Glyma.12G154900.Wm82.a4.v1	0	2	0	0
Glyma.12G155100.Wm82.a4.v1	40	107	22	25
Glyma.12G155200.Wm82.a4.v1	338	503	119	156
Glyma.12G155300.Wm82.a4.v1	160	238	74	230
Glyma.12G155400.Wm82.a4.v1	83	106	43	114
Glyma.12G155500.Wm82.a4.v1	15	18	7	0
Glyma.12G155700.Wm82.a4.v1	0	10	0	1
Glyma.12G155800.Wm82.a4.v1	127	58	50	76
Glyma.12G155900.Wm82.a4.v1	657	860	1193	1600
Glyma.12G156000.Wm82.a4.v1	10	74	11	20
Glyma.12G156100.Wm82.a4.v1	68	72	24	42
Glyma.12G156200.Wm82.a4.v1	590	537	203	405
Glyma.12G156300.Wm82.a4.v1	72	54	40	61
Glyma.12G156400.Wm82.a4.v1	0	0	0	0
Glyma.12G156466.Wm82.a4.v1	0	0	0	0
Glyma.12G156532.Wm82.a4.v1	9	11	12	34
Glyma.12G156600.Wm82.a4.v1	60	117	79	120
Glyma.12G156702.Wm82.a4.v1	23	20	5	4
Glyma.12G156800.Wm82.a4.v1	1476	1601	653	1014
Glyma.12G156900.Wm82.a4.v1	275	239	117	160
Glyma.12G156966.Wm82.a4.v1	0	0	0	0
Glyma.12G157032.Wm82.a4.v1	0	0	0	1
Glyma.12G157500.Wm82.a4.v1	154	117	30	64
Glyma.12G157600.Wm82.a4.v1	145	192	43	107
Glyma.12G157700.Wm82.a4.v1	670	704	256	564
Glyma.12G158000.Wm82.a4.v1	196	187	61	124
Glyma.12G158300.Wm82.a4.v1	0	0	0	0
Glyma.12G158400.Wm82.a4.v1	0	13	38	7
Glyma.12G158420.Wm82.a4.v1	0	0	0	0
Glyma.12G158460.Wm82.a4.v1	127	70	44	40
Glyma.12G158500.Wm82.a4.v1	76	116	83	132
Glyma.12G158600.Wm82.a4.v1	90	90	37	117
Glyma.12G158800.Wm82.a4.v1	314	356	105	235
Glyma.12G158900.Wm82.a4.v1	34	41	27	30
Glyma.12G158950.Wm82.a4.v1	0	0	0	2
Glyma.12G159000.Wm82.a4.v1	519	491	273	473
Glyma.12G159050.Wm82.a4.v1	0	0	0	0
Glyma.12G159100.Wm82.a4.v1	0	0	0	0
Glyma.12G159300.Wm82.a4.v1	6303	5981	3137	5764
Glyma.12G159500.Wm82.a4.v1	0	0	0	0
Glyma.12G159600.Wm82.a4.v1	769	809	313	744
Glyma.12G159800.Wm82.a4.v1	16	10	1	3
Glyma.12G160300.Wm82.a4.v1	74	69	23	59
Glyma.12G160400.Wm82.a4.v1	0	0	0	0
Glyma.12G160500.Wm82.a4.v1	72	134	201	288
Glyma.12G160600.Wm82.a4.v1	0	0	0	0
Glyma.12G160700.Wm82.a4.v1	135	144	38	137
Glyma.12G160800.Wm82.a4.v1	237	350	88	195
Glyma.12G161000.Wm82.a4.v1	52	45	10	18
Glyma.12G161050.Wm82.a4.v1	0	0	0	0
Glyma.12G161200.Wm82.a4.v1	1245	1600	514	891
Glyma.12G161300.Wm82.a4.v1	2132	1781	1330	2738
Glyma.12G161350.Wm82.a4.v1	0	0	0	0
Glyma.12G161400.Wm82.a4.v1	266	407	1551	3671
Glyma.12G161500.Wm82.a4.v1	0	0	0	0
Glyma.12G161651.Wm82.a4.v1	0	0	0	0
Glyma.12G161700.Wm82.a4.v1	0	0	0	0
Glyma.12G161850.Wm82.a4.v1	0	0	0	0
Glyma.12G161900.Wm82.a4.v1	0	0	0	0
Glyma.12G162201.Wm82.a4.v1	72	40	12	21
Glyma.12G162300.Wm82.a4.v1	208	220	58	167
Glyma.12G162400.Wm82.a4.v1	0	0	0	0
Glyma.12G162600.Wm82.a4.v1	0	0	0	0
Glyma.12G162700.Wm82.a4.v1	201	142	62	192
Glyma.12G162800.Wm82.a4.v1	333	143	101	131
Glyma.12G162900.Wm82.a4.v1	0	20	0	1
Glyma.12G162927.Wm82.a4.v1	0	0	0	0
Glyma.12G162936.Wm82.a4.v1	0	0	0	0
Glyma.12G162945.Wm82.a4.v1	1	0	0	0
Glyma.12G162954.Wm82.a4.v1	0	0	0	0
Glyma.12G162963.Wm82.a4.v1	259	329	145	367
Glyma.12G162972.Wm82.a4.v1	0	0	0	0
Glyma.12G162990.Wm82.a4.v1	0	12	28	46
Glyma.12G162999.Wm82.a4.v1	0	0	0	0
Glyma.12G163008.Wm82.a4.v1	393	391	314	478
Glyma.12G163026.Wm82.a4.v1	0	0	0	0
Glyma.12G163035.Wm82.a4.v1	14	8	0	2
Glyma.12G163053.Wm82.a4.v1	37	11	12	17
Glyma.12G163062.Wm82.a4.v1	40	25	18	22
Glyma.12G163071.Wm82.a4.v1	110	220	45	89
Glyma.12G163080.Wm82.a4.v1	7	0	0	12
Glyma.12G163089.Wm82.a4.v1	0	0	5	21
Glyma.12G163366.Wm82.a4.v1	0	0	0	2
Glyma.12G163432.Wm82.a4.v1	0	8	0	7
Glyma.12G163500.Wm82.a4.v1	39	105	55	94
Glyma.12G163601.Wm82.a4.v1	24	56	21	41
Glyma.12G163700.Wm82.a4.v1	469	567	447	1009
Glyma.12G163800.Wm82.a4.v1	0	0	5	9
Glyma.12G163850.Wm82.a4.v1	11	3	1	1
Glyma.12G163900.Wm82.a4.v1	36	67	13	9
Glyma.12G164000.Wm82.a4.v1	296	208	44	68
Glyma.12G164100.Wm82.a4.v1	624	700	277	764
Glyma.12G164200.Wm82.a4.v1	519	831	278	569
Glyma.12G164300.Wm82.a4.v1	74	10	17	37
Glyma.12G164400.Wm82.a4.v1	94	85	54	68
Glyma.12G164700.Wm82.a4.v1	130	194	59	205
Glyma.12G164800.Wm82.a4.v1	476	516	213	402
Glyma.12G164900.Wm82.a4.v1	0	0	0	0
Glyma.12G165000.Wm82.a4.v1	516	470	176	486
Glyma.12G165100.Wm82.a4.v1	22	5	16	8
Glyma.12G165200.Wm82.a4.v1	56	111	8	25
Glyma.12G165301.Wm82.a4.v1	4220	3896	1646	3653
Glyma.12G165400.Wm82.a4.v1	0	0	0	0
Glyma.12G165600.Wm82.a4.v1	158	77	81	176
Glyma.12G165700.Wm82.a4.v1	343	263	103	363
Glyma.12G165800.Wm82.a4.v1	0	0	0	0
Glyma.12G165900.Wm82.a4.v1	465	392	182	404
Glyma.12G166100.Wm82.a4.v1	874	882	381	796
Glyma.12G166200.Wm82.a4.v1	1844	1755	963	2226
Glyma.12G166300.Wm82.a4.v1	40	58	5	9
Glyma.12G166400.Wm82.a4.v1	36	18	16	37
Glyma.12G166500.Wm82.a4.v1	516	705	243	570
Glyma.12G166600.Wm82.a4.v1	42	144	18	38
Glyma.12G166900.Wm82.a4.v1	266	172	132	262
Glyma.12G167000.Wm82.a4.v1	135	235	44	106
Glyma.12G167200.Wm82.a4.v1	32	26	5	8
Glyma.12G167300.Wm82.a4.v1	118	129	40	51
Glyma.12G167400.Wm82.a4.v1	70	95	56	151
Glyma.12G167500.Wm82.a4.v1	1015	1011	507	1079
Glyma.12G167600.Wm82.a4.v1	228	301	63	187
Glyma.12G167700.Wm82.a4.v1	512	473	234	443
Glyma.12G167800.Wm82.a4.v1	343	377	204	371
Glyma.12G167901.Wm82.a4.v1	0	0	0	0
Glyma.12G168000.Wm82.a4.v1	705	685	242	479
Glyma.12G168100.Wm82.a4.v1	0	15	12	28
Glyma.12G168200.Wm82.a4.v1	278	262	76	173
Glyma.12G168300.Wm82.a4.v1	539	650	202	684
Glyma.12G168400.Wm82.a4.v1	14	8	8	28
Glyma.12G168500.Wm82.a4.v1	1185	1334	724	1228
Glyma.12G168600.Wm82.a4.v1	0	0	0	0
Glyma.12G168700.Wm82.a4.v1	0	0	0	0
Glyma.12G168800.Wm82.a4.v1	209	223	123	327
Glyma.12G168900.Wm82.a4.v1	1123	1078	432	1072
Glyma.12G169000.Wm82.a4.v1	0	0	0	0
Glyma.12G169200.Wm82.a4.v1	233	418	172	328
Glyma.12G169266.Wm82.a4.v1	0	0	0	0
