gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.01G014500.Wm82.a4.v1	203	203	66	205
Glyma.01G014600.Wm82.a4.v1	0	4	0	6
Glyma.01G014700.Wm82.a4.v1	237	361	230	392
Glyma.01G014800.Wm82.a4.v1	74	57	18	74
Glyma.01G014900.Wm82.a4.v1	67	94	45	63
Glyma.01G015000.Wm82.a4.v1	496	333	331	817
Glyma.01G015100.Wm82.a4.v1	291	314	146	346
Glyma.01G015200.Wm82.a4.v1	71	40	49	31
Glyma.01G015300.Wm82.a4.v1	100	140	67	167
Glyma.01G015400.Wm82.a4.v1	483	988	167	393
Glyma.01G015500.Wm82.a4.v1	817	910	396	741
Glyma.01G015600.Wm82.a4.v1	366	150	138	197
Glyma.01G015700.Wm82.a4.v1	43	64	24	36
Glyma.01G015800.Wm82.a4.v1	0	0	0	1
Glyma.01G015900.Wm82.a4.v1	152	350	171	398
Glyma.01G016000.Wm82.a4.v1	11	0	0	6
Glyma.01G016100.Wm82.a4.v1	0	0	3	14
Glyma.01G016200.Wm82.a4.v1	74	6	6	22
Glyma.01G016300.Wm82.a4.v1	12	7	0	17
Glyma.01G016400.Wm82.a4.v1	192	168	64	125
Glyma.01G016500.Wm82.a4.v1	159	227	70	300
Glyma.01G016600.Wm82.a4.v1	6	23	4	27
Glyma.01G016700.Wm82.a4.v1	0	0	0	0
Glyma.01G016800.Wm82.a4.v1	514	464	179	331
Glyma.01G016900.Wm82.a4.v1	198	142	102	253
Glyma.01G017000.Wm82.a4.v1	480	460	424	476
Glyma.01G017100.Wm82.a4.v1	458	536	1756	2248
Glyma.01G017150.Wm82.a4.v1	0	0	0	0
Glyma.01G017200.Wm82.a4.v1	0	0	0	0
Glyma.01G017300.Wm82.a4.v1	95	75	44	74
Glyma.01G017400.Wm82.a4.v1	56	83	31	43
Glyma.01G017700.Wm82.a4.v1	1250	1271	990	1984
Glyma.01G017800.Wm82.a4.v1	187	89	106	124
Glyma.01G017900.Wm82.a4.v1	228	175	71	152
Glyma.01G018000.Wm82.a4.v1	92	87	10	49
Glyma.01G018100.Wm82.a4.v1	2286	3128	559	896
Glyma.01G018200.Wm82.a4.v1	0	0	0	0
Glyma.01G018300.Wm82.a4.v1	161	173	46	128
Glyma.01G018400.Wm82.a4.v1	746	562	531	1249
Glyma.01G018500.Wm82.a4.v1	0	0	0	0
Glyma.01G018600.Wm82.a4.v1	154	279	49	111
Glyma.01G018651.Wm82.a4.v1	0	0	0	0
Glyma.01G018700.Wm82.a4.v1	162	108	117	235
Glyma.01G018800.Wm82.a4.v1	506	756	106	454
Glyma.01G018900.Wm82.a4.v1	0	0	0	0
Glyma.01G019000.Wm82.a4.v1	117	216	181	480
Glyma.01G019100.Wm82.a4.v1	369	325	126	189
Glyma.01G019200.Wm82.a4.v1	336	486	146	654
Glyma.01G019300.Wm82.a4.v1	123	98	34	66
Glyma.01G019400.Wm82.a4.v1	3182	2398	577	2148
Glyma.01G019500.Wm82.a4.v1	415	352	37	155
Glyma.01G019600.Wm82.a4.v1	97	54	36	78
Glyma.01G019700.Wm82.a4.v1	804	625	173	389
Glyma.01G019800.Wm82.a4.v1	954	612	311	936
Glyma.01G019900.Wm82.a4.v1	12	25	16	45
Glyma.01G020000.Wm82.a4.v1	0	0	0	0
Glyma.01G020100.Wm82.a4.v1	390	619	244	774
Glyma.01G020200.Wm82.a4.v1	276	313	51	162
Glyma.01G020300.Wm82.a4.v1	959	1000	353	772
Glyma.01G020400.Wm82.a4.v1	67	83	28	47
