"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.17G243900.Wm82.a4.v1",7.43391423079713,6.68957054186221,2.32830009634791,2.8731564940255,0.00406392753740061,0.0417555612023526
"Glyma.17G244000.Wm82.a4.v1",110.274042682614,5.76207730191203,2.06027255626733,2.7967548683711,0.00516186804183599,0.0499729235408053
"Glyma.17G245100.Wm82.a4.v1",243.347689270501,4.37719114472555,0.403832613300351,10.8391224496522,2.24615241270907e-27,6.48953661627102e-25
"Glyma.17G245200.Wm82.a4.v1",243.029844944079,2.99362188357832,0.478578493126134,6.25523697068712,3.96912766203965e-10,2.38239965016845e-08
"Glyma.17G245500.Wm82.a4.v1",254.026078982314,1.09578759754793,0.353186560800681,3.10257444412313,0.00191845290073651,0.0229875902358446
"Glyma.17G245600.Wm82.a4.v1",627.385547304415,0.840427597982772,0.264965643250634,3.17183612060904,0.00151478460943023,0.0190158515415342
"Glyma.17G246500.Wm82.a4.v1",543.223124830259,1.39079490154919,0.296787407478948,4.68616547232668,2.78371228000766e-06,8.09702636517631e-05
"Glyma.17G247400.Wm82.a4.v1",231.750846905411,-1.82393742879278,0.376720777385993,-4.84161622687444,1.28787311407678e-06,4.03942884302781e-05
"Glyma.17G251000.Wm82.a4.v1",796.932507987807,1.47764343671525,0.297147361297631,4.97276311074221,6.60052975762154e-07,2.21822490942984e-05
"Glyma.17G254100.Wm82.a4.v1",1906.10091489703,-0.946275158492098,0.240909329100913,-3.92793073652918,8.56798770303142e-05,0.00167445554731379
"Glyma.17G255900.Wm82.a4.v1",370.635725364851,1.68295910905193,0.32692435385139,5.14785481480819,2.6348229486941e-07,9.60519495844557e-06
"Glyma.17G258200.Wm82.a4.v1",1132.04748946581,1.74242855580054,0.254005567409211,6.85980458449335,6.89548080879028e-12,5.20387016593208e-10
"Glyma.17G258400.Wm82.a4.v1",158.061697093063,2.71725646990001,0.490653161980638,5.53803925145649,3.05876718957895e-08,1.35182844457248e-06
"Glyma.17G258500.Wm82.a4.v1",451.366610918206,1.46854265749047,0.377168074219673,3.89360276722454,9.87663328775742e-05,0.00189293988977984
"Glyma.17G259500.Wm82.a4.v1",119.448044246383,-1.78379362361971,0.61920483372233,-2.88078116718905,0.00396690957071217,0.0409107362893238
"Glyma.17G260400.Wm82.a4.v1",778.746262539102,-0.813171299011389,0.271590565487868,-2.99410731573337,0.00275249112720943,0.0307274204123164
"Glyma.17G261300.Wm82.a4.v1",44.7328847391654,2.81258405055502,0.951271381666769,2.95665790515736,0.00310992946728199,0.0339127663323349
"Glyma.17G261500.Wm82.a4.v1",2210.63577873988,-0.795577023119443,0.21648539707674,-3.6749685376581,0.000237878726758624,0.00404634222603697
"Glyma.17G262300.Wm82.a4.v1",170.700380495149,-1.27192106079283,0.445359334395191,-2.85594342042956,0.00429091592022357,0.0435446421628979
"Glyma.18G004200.Wm82.a4.v1",185.711417711107,2.65674215686369,0.460994752387205,5.76306377264832,8.26005658669175e-09,4.03772841860822e-07
"Glyma.18G006400.Wm82.a4.v1",108.643614932256,2.14575518591534,0.550156115067588,3.90026599204797,9.60870612815317e-05,0.00185167276133126
"Glyma.18G007600.Wm82.a4.v1",354.007920137508,0.979517068946024,0.316395637011832,3.09586149226639,0.00196242005450347,0.0234491025957104
"Glyma.18G009700.Wm82.a4.v1",6738.38928787142,1.94114778836972,0.242147477270004,8.01638658496226,1.08901387807592e-15,1.2814945984714e-13
"Glyma.18G009800.Wm82.a4.v1",368.573979992929,3.50204308290374,0.43212382470476,8.10425827665585,5.30682649028458e-16,6.56401877224816e-14
"Glyma.18G010400.Wm82.a4.v1",444.159546151337,0.999558510526859,0.298113069265781,3.35295098932985,0.000799548633621187,0.0112626310943112
"Glyma.18G013100.Wm82.a4.v1",493.896408847064,0.989913365296227,0.339253907564469,2.91791293548509,0.00352382725570382,0.0374177104236351
"Glyma.18G013600.Wm82.a4.v1",82.9732594903239,4.13483277478599,0.802170717015968,5.15455461920543,2.54234452414866e-07,9.30310664011489e-06
"Glyma.18G015000.Wm82.a4.v1",37.111518868389,2.4713831319581,0.847742768741098,2.91525120954805,0.00355402343521923,0.0376454219684028
"Glyma.18G015400.Wm82.a4.v1",12.1671738600874,7.38889949494141,2.03802791204534,3.62551437655532,0.000288386851378518,0.00478154045015817
"Glyma.18G017200.Wm82.a4.v1",621.777643998542,0.844559506991742,0.267077257575271,3.16222921659183,0.00156566271565191,0.0195208287283191
"Glyma.18G020400.Wm82.a4.v1",39.9166366059891,2.30763157443845,0.802518430980832,2.87548732260028,0.00403404344925537,0.0414595147698226
"Glyma.18G022000.Wm82.a4.v1",11.9399012102799,7.34962158166511,2.19987504191467,3.34092684431219,0.000834992210213345,0.0116871740485935
"Glyma.18G022700.Wm82.a4.v1",1096.77301101124,2.37195656983296,0.28609770292908,8.29072217479823,1.12562926058775e-16,1.46237371891458e-14
"Glyma.18G023966.Wm82.a4.v1",79.1028371827324,4.59771926027626,0.686844681678465,6.69397228066272,2.1719257638376e-11,1.5316230591434e-09
"Glyma.18G025100.Wm82.a4.v1",233.14731299853,1.53098067814213,0.380714948796362,4.02133061226611,5.7870314840627e-05,0.00118963208203415
"Glyma.18G026700.Wm82.a4.v1",78.2726666706622,1.7003423492587,0.596994933019626,2.84816881218454,0.00439715934473494,0.0443438458013579
"Glyma.18G026900.Wm82.a4.v1",211.016462704396,2.47775713797186,0.399075719164652,6.2087393920089,5.34113116406849e-10,3.13305898510472e-08
"Glyma.18G028100.Wm82.a4.v1",133.042835153631,1.91482975198178,0.461007195106217,4.15357888620501,3.27315300642725e-05,0.000719591815126809
"Glyma.18G029300.Wm82.a4.v1",364.031106135492,1.2657880510557,0.379383855637448,3.33643098473155,0.00084861495633786,0.0118435933794594
"Glyma.18G030200.Wm82.a4.v1",580.848082546853,0.888924186209681,0.287182471135688,3.09532884334602,0.00196594800303156,0.0234840101627173
"Glyma.18G031100.Wm82.a4.v1",403.606678570918,1.27805975730431,0.310670905520622,4.11387012621132,3.8908039152743e-05,0.000839645895093894
"Glyma.18G033200.Wm82.a4.v1",13.0074225808224,7.47470322735192,2.08395840343101,3.58678139402669,0.000334784758801099,0.00543406266164657
"Glyma.18G033500.Wm82.a4.v1",11.7900992864728,7.33844303751015,2.07248471172841,3.54089127701698,0.000398777865973349,0.00631697425579304
"Glyma.18G034800.Wm82.a4.v1",374.25093945399,-1.08557238406897,0.324833659948224,-3.3419331735572,0.000831970882417037,0.0116517891621981
"Glyma.18G035100.Wm82.a4.v1",1211.12608545114,1.00468791053861,0.255842804803896,3.92697348400594,8.60214603614005e-05,0.00168028296563654
"Glyma.18G035300.Wm82.a4.v1",163.59599158819,-1.17296980733317,0.419360550175304,-2.79704375350241,0.00515725487332765,0.0499505803253498
"Glyma.18G036200.Wm82.a4.v1",178.834450368334,1.3459629184127,0.429269931094429,3.1354698312578,0.00171579075132223,0.0210726434261669
"Glyma.18G038500.Wm82.a4.v1",358.637258392374,1.64257821065961,0.356644156235766,4.60565014718412,4.11179176693512e-06,0.000114359208517883
"Glyma.18G039500.Wm82.a4.v1",181.779333608144,-1.316630391847,0.446564802765842,-2.94835236385028,0.00319472694024054,0.0346065622527735
"Glyma.18G040000.Wm82.a4.v1",1301.22515899522,-0.710634286882665,0.250208345440086,-2.84017020148847,0.00450894693959364,0.0451886825696008
"Glyma.18G040500.Wm82.a4.v1",1776.31265005018,3.51940848651534,0.271275472629446,12.9735595054063,1.72814766540769e-38,9.9858562486953e-36
"Glyma.18G041600.Wm82.a4.v1",156.978895763247,2.82219659537183,0.486024722623392,5.80669349521687,6.37186263105825e-09,3.18305370014736e-07
"Glyma.18G042100.Wm82.a4.v1",109.221967826836,4.02478882968966,0.580170056903399,6.93725707109322,3.99785959577265e-12,3.06489374753145e-10
"Glyma.18G042900.Wm82.a4.v1",653.004537187107,-0.875294748084814,0.270325247368276,-3.23793192314132,0.00120399535575646,0.0157472214462896
"Glyma.18G043600.Wm82.a4.v1",1406.47349843759,-1.00191499233837,0.27084127684982,-3.69926993400613,0.000216220540618593,0.00373204557737353
"Glyma.18G045100.Wm82.a4.v1",1228.8044638117,2.64573839469542,0.243157657089496,10.8807529500156,1.42381954185479e-27,4.20787584449681e-25
"Glyma.18G049000.Wm82.a4.v1",82.9247424408702,1.95016881051507,0.67813094754135,2.87579975163448,0.00403005292284964,0.0414295005066712
"Glyma.18G050600.Wm82.a4.v1",500.43345100744,2.88586509923927,0.353721797373496,8.15857298212268,3.39005856211837e-16,4.26123757248093e-14
"Glyma.18G050700.Wm82.a4.v1",209.851633481828,2.11373602119743,0.420849133391268,5.02255049015931,5.09897868273773e-07,1.75472853068614e-05
"Glyma.18G053800.Wm82.a4.v1",18.855760050266,4.92836723654931,1.46876576127722,3.35544806835889,0.000792365318372572,0.0111835301862173
"Glyma.18G054100.Wm82.a4.v1",48.801514962278,2.40802436003371,0.78053291676776,3.08510289355317,0.00203481745462151,0.0241354037241642
"Glyma.18G055600.Wm82.a4.v1",200.137976778587,2.82165384181485,0.412068953092367,6.84752835815408,7.51368014130914e-12,5.617792396631e-10
"Glyma.18G056600.Wm82.a4.v1",111.989519369729,5.12087652888814,0.691612081859933,7.40426123719052,1.31882579028125e-13,1.23032145712623e-11
"Glyma.18G057900.Wm82.a4.v1",1306.08361654184,-1.74260188931178,0.323168164086896,-5.39224491445642,6.95828383771357e-08,2.87809785018249e-06
"Glyma.18G062600.Wm82.a4.v1",222.580038094842,-1.55371908751228,0.397853560313827,-3.90525369758336,9.41265849572829e-05,0.00181841853124811
"Glyma.18G062900.Wm82.a4.v1",2693.5614761504,-0.669107007097851,0.22485116620012,-2.97577734821415,0.00292246956346193,0.0322437757621626
"Glyma.18G064100.Wm82.a4.v1",216.212264433985,2.06372322381912,0.388045765587533,5.31824698742551,1.04771783380861e-07,4.18169030267014e-06
"Glyma.18G064401.Wm82.a4.v1",327.175533611191,-1.39245018810099,0.391392206021946,-3.55768501946846,0.000374137564609252,0.00598542802225091
"Glyma.18G064900.Wm82.a4.v1",473.623127521899,1.76431681947958,0.288422140689433,6.11713377919677,9.52733825348289e-10,5.36120494888939e-08
"Glyma.18G065900.Wm82.a4.v1",154.494678300201,-1.57916672860597,0.496748612547654,-3.17900581645706,0.00147781125690126,0.0186582562258137
"Glyma.18G067500.Wm82.a4.v1",1083.93072351776,1.3121464255705,0.254163057417961,5.16261662454245,2.43521558224148e-07,8.96191742076795e-06
"Glyma.18G071500.Wm82.a4.v1",542.924418217526,1.26535891801227,0.282052102565533,4.48625947653863,7.24844591314139e-06,0.00019025327696764
"Glyma.18G080000.Wm82.a4.v1",229.996562045248,1.65152667533867,0.388032947462193,4.25615063396024,2.07976611739114e-05,0.000478989561182617
"Glyma.18G080900.Wm82.a4.v1",415.722745402275,0.930849003766285,0.310385524370078,2.99900907316934,0.00270859240514203,0.0303947744578082
"Glyma.18G081900.Wm82.a4.v1",661.231697485173,0.752684045866973,0.267915045778444,2.80941312452237,0.00496319123390066,0.048682530686715
"Glyma.18G085400.Wm82.a4.v1",9.89352780679754,7.07803385381439,2.25943114948611,3.13266188944249,0.00173228866915641,0.0212232771602502
"Glyma.18G091500.Wm82.a4.v1",3096.90052708042,1.13409428513589,0.217119391326891,5.22336709865043,1.75698580397746e-07,6.68189640481213e-06
"Glyma.18G091900.Wm82.a4.v1",310.279670605686,-1.37604458488261,0.375066218104713,-3.66880438295948,0.000243687443143796,0.00413243949247134
"Glyma.18G096500.Wm82.a4.v1",431.663429069317,1.45241342263271,0.315021422929726,4.61052270390103,4.01657769342144e-06,0.000111935333246424
"Glyma.18G096700.Wm82.a4.v1",123.974409636913,4.2226237646944,0.533290610247224,7.91805384073211,2.41256900005884e-15,2.70732199528341e-13
"Glyma.18G102400.Wm82.a4.v1",153.955248742067,1.65331300979487,0.467763860848357,3.53450351379509,0.000408542003492912,0.00644002592232414
"Glyma.18G102700.Wm82.a4.v1",1693.29773440399,1.30729284925679,0.225925658176418,5.78638504280006,7.19172628879537e-09,3.55137351110603e-07
"Glyma.18G103700.Wm82.a4.v1",24.2456783825723,8.37932530484103,1.79414000538943,4.67038541009637,3.0063514978823e-06,8.67294323699799e-05
"Glyma.18G106300.Wm82.a4.v1",72.8195350675866,-2.85415811163401,0.814137080129218,-3.50574636789791,0.000455328886228718,0.0070674358656082
"Glyma.18G109600.Wm82.a4.v1",195.99725609199,-1.3145167372754,0.394765024226851,-3.32987133257281,0.000868861241051387,0.0120956357235902
"Glyma.18G109900.Wm82.a4.v1",860.816624819451,1.07526496503494,0.245185988998843,4.38550738329513,1.15715732816509e-05,0.000287175294614816
"Glyma.18G110200.Wm82.a4.v1",77.823509112243,4.66793710794719,0.681740781018043,6.84708504745244,7.5369915107694e-12,5.62224713563463e-10
"Glyma.18G111200.Wm82.a4.v1",2063.28416271698,0.898709342538093,0.242864588038308,3.70045443758288,0.000215213719122013,0.00371632432462478
"Glyma.18G113400.Wm82.a4.v1",80.3866705801581,1.89287924295906,0.57863160256373,3.27130290598081,0.00107053179989371,0.0142866730895847
"Glyma.18G118300.Wm82.a4.v1",34.3110685052255,4.59300725777254,1.10289412639746,4.16450423285444,3.12029838396938e-05,0.000689511141183644
"Glyma.18G122000.Wm82.a4.v1",1024.25077396136,1.35225114915368,0.243344640086227,5.55693829407756,2.74547762757542e-08,1.22455260773712e-06
"Glyma.18G127900.Wm82.a4.v1",240.863706493081,2.29831054482532,0.41409812545618,5.55015925825178,2.85409478806664e-08,1.26861400367394e-06
"Glyma.18G130500.Wm82.a4.v1",609.890034807037,0.835618448275347,0.275799773247116,3.02980107067251,0.00244714863618873,0.0279473036725802
"Glyma.18G132000.Wm82.a4.v1",68.9786954085567,2.19125193873539,0.615962912725962,3.55744135476913,0.000374484670237287,0.00598850640571522
"Glyma.18G136200.Wm82.a4.v1",182.946727459095,1.48976985888751,0.406193500275703,3.66763588751748,0.000244803455715587,0.00414591679266357
"Glyma.18G138400.Wm82.a4.v1",1550.07460926622,1.68394126224895,0.239279474247738,7.03754999271474,1.95649350774076e-12,1.57475355825745e-10
"Glyma.18G141500.Wm82.a4.v1",168.71755850536,1.86884938926651,0.454831697614218,4.10888115113658,3.97580604204496e-05,0.00085655721156244
"Glyma.18G142600.Wm82.a4.v1",209.498210153789,-1.72345825084954,0.418391135031979,-4.11925135726839,3.80105334772192e-05,0.000821651481613925
"Glyma.18G144900.Wm82.a4.v1",422.258794764944,-1.45123768094818,0.334084521075072,-4.3439237360598,1.39960120569195e-05,0.000338236958042221
"Glyma.18G148700.Wm82.a4.v1",320.837766170952,4.78265256082964,0.42836526836326,11.1648934076838,6.05638030959238e-29,1.95393969738224e-26
"Glyma.18G150600.Wm82.a4.v1",58.9389709547388,2.13520148802002,0.740064110649757,2.88515745770372,0.00391217939674856,0.0404756882269162
"Glyma.18G152600.Wm82.a4.v1",279.8471901955,1.36983236204478,0.354962573600099,3.8590895602082,0.000113810226905786,0.00214829982187105
"Glyma.18G152900.Wm82.a4.v1",108.193160787515,-1.52987380168524,0.528333560855398,-2.89565894547433,0.00378363364654398,0.0395046862529532
"Glyma.18G153500.Wm82.a4.v1",205.866782416788,-1.25927363560828,0.396607489877891,-3.17511309732449,0.00149778111797981,0.0188369284436924
"Glyma.18G155000.Wm82.a4.v1",18.1065581721251,7.96423662236315,1.86389180992612,4.27290713975444,1.92940821905607e-05,0.000447823976023716
"Glyma.18G158400.Wm82.a4.v1",324.021364231675,2.04918439833888,0.344881740951856,5.94170161830904,2.82078518568e-09,1.48580542127348e-07
"Glyma.18G164100.Wm82.a4.v1",480.641725141902,1.87141443047076,0.291118223579255,6.42836579401316,1.28983057122118e-10,8.25384968013683e-09
"Glyma.18G170900.Wm82.a4.v1",637.437634835347,0.951306696147867,0.291470416354452,3.26381904567289,0.0010992134596741,0.0145989876814006
"Glyma.18G172100.Wm82.a4.v1",178.536173591138,6.51368169313978,2.04140684534514,3.19078076376222,0.00141888903636252,0.0180664605339871
"Glyma.18G172500.Wm82.a4.v1",266.953108793885,1.33006848892227,0.352889995245337,3.76907395177803,0.000163854339488757,0.00293958329624988
"Glyma.18G176600.Wm82.a4.v1",1007.25192748875,1.1858341389066,0.260752351022272,4.54774092834664,5.42248280049564e-06,0.000146702600713619
"Glyma.18G177000.Wm82.a4.v1",855.267642271302,7.03019179849325,0.370086216237713,18.9960919646292,1.83726043742425e-80,7.90328198165331e-77
"Glyma.18G181500.Wm82.a4.v1",758.722768570445,1.43813428707516,0.270640080538342,5.31382596478135,1.07347146483517e-07,4.27566334990676e-06
"Glyma.18G181700.Wm82.a4.v1",1165.38994472974,-0.774981582983553,0.232923269968401,-3.32719690518121,0.00087724362653676,0.0121860376754111
"Glyma.18G182000.Wm82.a4.v1",512.971003532939,1.29688557159496,0.306648424504985,4.22922626681839,2.34496409000405e-05,0.000533717135476229
"Glyma.18G187300.Wm82.a4.v1",185.168379428851,1.36079403559401,0.399211546688046,3.40870409907599,0.000652722378308822,0.00950005521662634
"Glyma.18G187600.Wm82.a4.v1",235.043129254422,-1.20591104666249,0.42369719426298,-2.84616245514718,0.00442496139320449,0.0445545852634361
"Glyma.18G189600.Wm82.a4.v1",153.149598863194,-2.48652045798112,0.528923055410051,-4.7011005335236,2.58763069626231e-06,7.61247130743125e-05
"Glyma.18G190000.Wm82.a4.v1",1427.7801742378,-1.45232040812326,0.240738452421803,-6.03277288490093,1.61169857183892e-09,8.75131980487288e-08
"Glyma.18G190200.Wm82.a4.v1",53.4221297425038,2.6420481963507,0.891879431604824,2.96233784828591,0.00305312575193099,0.0334375568560136
"Glyma.18G190300.Wm82.a4.v1",425.333823669832,-0.917910529094447,0.310226555146848,-2.95883931876801,0.00308800068247071,0.0337431403956685
"Glyma.18G191600.Wm82.a4.v1",788.27220948863,-0.742191522927316,0.250614128620145,-2.96149114582543,0.00306153296034366,0.0335201494795545
"Glyma.18G192800.Wm82.a4.v1",708.590539920495,1.68390587077318,0.33449541883476,5.03416721412564,4.79930617151944e-07,1.66194220420729e-05
"Glyma.18G193400.Wm82.a4.v1",1247.33478204222,1.79201922886345,0.321302541578287,5.57735777644575,2.44199291441804e-08,1.10704631945778e-06
"Glyma.18G197800.Wm82.a4.v1",434.834762762852,1.22723728170312,0.328307586584921,3.7380716494216,0.000185437105522795,0.00327070502975627
"Glyma.18G199000.Wm82.a4.v1",67.8151692768073,2.74132064330539,0.643349366454585,4.26101397816315,2.0350150328713e-05,0.000469800876551057
"Glyma.18G199700.Wm82.a4.v1",195.612603237304,1.7836263935437,0.393445707993773,4.53334820358982,5.80559921198353e-06,0.000156085953813849
"Glyma.18G200500.Wm82.a4.v1",216.92156227635,-1.41204509913624,0.409629740072509,-3.44712544281158,0.000566585440295263,0.00843343149597505
"Glyma.18G201900.Wm82.a4.v1",17.5404699738945,4.10034064873511,1.41192811077305,2.90407182734688,0.00368343644757246,0.0386356656916195
"Glyma.18G202400.Wm82.a4.v1",74.9853679125867,1.94344693410723,0.652842663107753,2.9768994030748,0.00291179534892494,0.0321534959879147
